Date,"Amount, $",Business Line ID,Subgroup ID,Group ID,Revenue or expense
2023-01-31 00:00:00,($180000),2,14,3,Expense
2023-01-31 00:00:00,($130000),2,12,3,Expense
2023-01-31 00:00:00,($100000),3,14,3,Expense
2023-01-31 00:00:00,($65000),1,14,3,Expense
2023-01-31 00:00:00,($60000),2,7,2,Expense
2023-01-31 00:00:00,($54000),2,5,2,Expense
2023-01-31 00:00:00,($52000),3,7,2,Expense
2023-01-31 00:00:00,($52000),3,15,4,Expense
2023-01-31 00:00:00,($50000),2,6,2,Expense
2023-01-31 00:00:00,($50000),2,10,3,Expense
2023-01-31 00:00:00,($49000),2,15,4,Expense
2023-01-31 00:00:00,($40000),1,7,2,Expense
2023-01-31 00:00:00,($40000),3,6,2,Expense
2023-01-31 00:00:00,($30000),1,6,2,Expense
2023-01-31 00:00:00,($30000),1,8,2,Expense
2023-01-31 00:00:00,($30000),2,13,3,Expense
2023-01-31 00:00:00,($30000),3,5,2,Expense
2023-01-31 00:00:00,($30000),3,10,3,Expense
2023-01-31 00:00:00,($20000),1,10,3,Expense
2023-01-31 00:00:00,($18000),2,4,2,Expense
2023-01-31 00:00:00,($15000),1,4,2,Expense
2023-01-31 00:00:00,($15000),3,4,2,Expense
2023-01-31 00:00:00,($14400),2,9,2,Expense
2023-01-31 00:00:00,($12600),2,9,3,Expense
2023-01-31 00:00:00,($12000),1,15,4,Expense
2023-01-31 00:00:00,($10000),2,8,2,Expense
2023-01-31 00:00:00,($10000),3,13,3,Expense
2023-01-31 00:00:00,($9000),1,5,2,Expense
2023-01-31 00:00:00,($9000),3,12,3,Expense
2023-01-31 00:00:00,($7000),3,9,3,Expense
2023-01-31 00:00:00,($6000),2,11,3,Expense
2023-01-31 00:00:00,($5000),3,8,2,Expense
2023-01-31 00:00:00,($5000),3,9,2,Expense
2023-01-31 00:00:00,($4000),3,11,3,Expense
2023-01-31 00:00:00,($3000),1,13,3,Expense
2023-01-31 00:00:00,($2700),1,12,3,Expense
2023-01-31 00:00:00,($2100),1,9,3,Expense
2023-01-31 00:00:00,($1500),1,9,2,Expense
2023-01-31 00:00:00,($1200),1,11,3,Expense
2023-01-31 00:00:00,$6000,1,3,1,Revenue
2023-01-31 00:00:00,$21000,2,3,1,Revenue
2023-01-31 00:00:00,$24000,2,3,1,Revenue
2023-01-31 00:00:00,$27000,1,2,1,Revenue
2023-01-31 00:00:00,$40000,3,3,1,Revenue
2023-01-31 00:00:00,$153000,1,1,1,Revenue
2023-01-31 00:00:00,$180000,3,2,1,Revenue
2023-01-31 00:00:00,$288000,2,2,1,Revenue
2023-01-31 00:00:00,$510000,3,1,1,Revenue
2023-01-31 00:00:00,$700000,2,1,1,Revenue
2023-02-28 00:00:00,($180000),2,14,3,Expense
2023-02-28 00:00:00,($100000),3,14,3,Expense
2023-02-28 00:00:00,($65000),1,14,3,Expense
2023-02-28 00:00:00,($60000),2,7,2,Expense
